t,x,y,theta,v,w
18.447,-0.1218,0.0002,-0.0562,0.000,-0.095
18.450,-0.1218,0.0002,-0.0564,0.000,-0.086
18.481,-0.1218,0.0002,-0.0583,0.001,-0.063
18.513,-0.1218,0.0002,-0.0601,0.000,-0.055
18.550,-0.1218,0.0002,-0.0611,-0.001,-0.026
18.653,-0.1219,0.0002,-0.0638,-0.001,-0.026
18.661,-0.1219,0.0002,-0.0639,-0.001,-0.022
18.669,-0.1219,0.0002,-0.0641,-0.001,-0.022
18.677,-0.1219,0.0002,-0.0643,-0.001,-0.020
18.686,-0.1220,0.0002,-0.0645,-0.001,-0.020
18.694,-0.1220,0.0002,-0.0646,-0.001,-0.020
18.701,-0.1220,0.0002,-0.0647,0.000,-0.018
18.709,-0.1220,0.0002,-0.0649,0.000,-0.018
18.717,-0.1220,0.0002,-0.0650,0.000,-0.009
18.725,-0.1220,0.0002,-0.0650,0.000,-0.009
18.733,-0.1220,0.0002,-0.0651,0.000,-0.009
18.742,-0.1220,0.0002,-0.0651,0.000,0.000
18.750,-0.1220,0.0002,-0.0651,0.000,0.000
18.758,-0.1220,0.0002,-0.0651,0.000,0.005
18.766,-0.1220,0.0002,-0.0650,0.000,0.005
18.773,-0.1220,0.0002,-0.0650,0.000,0.005
18.781,-0.1220,0.0002,-0.0648,0.001,0.029
18.788,-0.1219,0.0002,-0.0646,0.001,0.029
18.795,-0.1219,0.0002,-0.0644,0.001,0.029
18.802,-0.1219,0.0002,-0.0640,0.000,0.056
18.810,-0.1219,0.0002,-0.0635,0.000,0.056
18.817,-0.1219,0.0002,-0.0630,0.000,0.068
18.825,-0.1219,0.0002,-0.0625,0.000,0.068
18.833,-0.1219,0.0002,-0.0620,0.000,0.068
18.840,-0.1219,0.0002,-0.0613,0.000,0.083
18.848,-0.1219,0.0002,-0.0607,0.000,0.083
18.855,-0.1219,0.0002,-0.0601,0.000,0.083
18.862,-0.1219,0.0002,-0.0595,0.000,0.097
18.870,-0.1219,0.0002,-0.0587,0.000,0.097
18.877,-0.1219,0.0002,-0.0580,0.000,0.100
18.885,-0.1219,0.0002,-0.0572,0.000,0.100
18.893,-0.1219,0.0002,-0.0564,0.000,0.100
18.900,-0.1219,0.0002,-0.0557,0.000,0.098
18.907,-0.1219,0.0002,-0.0550,0.000,0.098
18.915,-0.1219,0.0002,-0.0543,0.000,0.098
18.922,-0.1219,0.0002,-0.0536,0.000,0.092
18.929,-0.1219,0.0002,-0.0529,0.000,0.092
18.936,-0.1219,0.0002,-0.0523,0.000,0.086
18.944,-0.1219,0.0002,-0.0517,0.000,0.086
18.951,-0.1219,0.0002,-0.0510,0.000,0.086
18.959,-0.1219,0.0002,-0.0505,0.000,0.079
18.966,-0.1219,0.0002,-0.0499,0.000,0.079
18.973,-0.1219,0.0002,-0.0493,0.000,0.079
18.980,-0.1219,0.0002,-0.0488,0.000,0.069
18.988,-0.1219,0.0002,-0.0483,0.000,0.069
18.996,-0.1219,0.0002,-0.0477,0.000,0.069
19.003,-0.1219,0.0002,-0.0473,0.000,0.061
19.011,-0.1219,0.0002,-0.0468,0.000,0.061
19.018,-0.1219,0.0002,-0.0465,0.000,0.051
19.025,-0.1219,0.0002,-0.0461,0.000,0.051
19.032,-0.1219,0.0002,-0.0457,0.000,0.051
19.041,-0.1219,0.0002,-0.0454,0.000,0.040
19.048,-0.1219,0.0002,-0.0451,0.000,0.040
19.055,-0.1219,0.0002,-0.0448,0.000,0.040
19.063,-0.1219,0.0002,-0.0446,0.001,0.033
19.071,-0.1219,0.0002,-0.0443,0.001,0.033
19.078,-0.1219,0.0002,-0.0441,0.000,0.024
19.085,-0.1219,0.0002,-0.0440,0.000,0.024
19.092,-0.1219,0.0002,-0.0438,0.000,0.024
19.099,-0.1219,0.0002,-0.0437,0.000,0.012
19.106,-0.1219,0.0002,-0.0436,0.000,0.012
19.114,-0.1219,0.0002,-0.0435,0.000,0.012
19.121,-0.1219,0.0002,-0.0435,0.000,0.006
19.128,-0.1219,0.0002,-0.0434,0.000,0.006
19.135,-0.1219,0.0002,-0.0434,0.000,0.006
19.143,-0.1219,0.0002,-0.0434,0.000,0.002
19.149,-0.1219,0.0002,-0.0434,0.000,0.002
19.157,-0.1219,0.0002,-0.0434,0.000,0.000
19.165,-0.1219,0.0002,-0.0434,0.000,0.000
19.172,-0.1219,0.0002,-0.0434,0.000,0.000
19.180,-0.1219,0.0002,-0.0434,0.000,0.000
19.190,-0.1219,0.0002,-0.0434,0.000,0.000
19.197,-0.1219,0.0002,-0.0434,0.000,0.000
19.205,-0.1219,0.0002,-0.0434,0.000,0.000
19.213,-0.1219,0.0002,-0.0434,0.000,0.000
19.220,-0.1219,0.0002,-0.0434,0.000,0.000
